Bac Professionnel Agroéquipement,91,143,"Pour les jeunes passionnés par le machinisme, curieux, dynamiques et polyvalents !
En savoir plus sur la formation : https://lyceerobertschuman.fr/bac-professionnel-agroequipements/",2021-06-04 00:00:00,Lycée Robert Schuman,UCz8zEiifd5oY5OYX5DrOoAg,https://www.youtube.com/channel/UCz8zEiifd5oY5OYX5DrOoAg,[],VjRmF_Ox5DI
Ingénieur / Ingénieure R&D en agroéquipement,509,93,"L' ingénieur recherche et développement (R&D) en agroéquipement imagine le tracteur et les machines de demain, les drones ou les robots qui assisteront les exploitants agricoles ou forestiers, sans perdre de vue le rendement et le respect de l'environnement.

Création : Onisep Nouvelle-Aquitaine
Partenariat :APRODEMA",2019-03-12 00:00:00,ONISEP Nouvelle-Aquitaine,UCLiAzcwkwORaixe7msQnBWg,https://www.youtube.com/channel/UCLiAzcwkwORaixe7msQnBWg,"['folios', 'onisep', 'orientation', 'parcours', 'nouvelle-aquitaine', 'pédagogie', 'numérique', 'ecole_numérique', 'agroequipement', 'agriculture', 'machine', 'engins agricoles']",JKes9HIVLoI
Regards croisé sur le métier de l'agroéquipement,29,203,Envie d'effectuer un métier en constante évolution ? Envie de travailler sur de la mécanique et de la vente agricole ? Cette formation est faite pour toi !,2020-04-30 00:00:00,Léoric Rhimes,UCX69NIvGWQb6eKz6BT4Sw4g,https://www.youtube.com/channel/UCX69NIvGWQb6eKz6BT4Sw4g,"['Agroéquipement', 'agroéquipement', 'tracteur', 'mécanique', 'vente', 'agricole', 'Savy-berlette', 'aventure du vivant', 'enseignement', 'agricoles', 'métier', 'avenir', 'agriculture', 'draaf', 'lycée', 'jeune', 'agriculteur', 'saint-omer', 'orientation', 'insertion', 'travail', 'jobs']",rqvQ3nWcHj4
DémarreTaStory : Bac Pro Agroéquipement,429,50,Les apprentis de la MFR-CFA de Chemillé participent au concours du Ministère du Travail pour valoriser l'apprentissage.,2018-11-09 00:00:00,MFR-CFA Chemillé,UCRa0O1c29WyDTZLyBjnq6xg,https://www.youtube.com/channel/UCRa0O1c29WyDTZLyBjnq6xg,['DémarreTaStory Concours MFR CFA Chemillé'],RFeYI09P4EI
Génie Rural (Energie & Agroéquipement ),403,17,L'INSTITUT AGRONOMIQUE ET VETERINAIRE HASSAN II  vous présent sa nouvelle option de Génie Rural,2013-03-01 00:00:00,Génie Rural,UC_c5lTT8ZWSe8Is24wSiJvA,https://www.youtube.com/channel/UC_c5lTT8ZWSe8Is24wSiJvA,[],qZOWcX7jnl0
Bac Pro Agroéquipement,507,96,,2021-01-26 00:00:00,LEAP SAVY BERLETTE,UCoUe8r0hse7eal-KzmdkujA,https://www.youtube.com/channel/UCoUe8r0hse7eal-KzmdkujA,[],ciImiM4Laso
BAC Pro Agro-équipement par Apprentissage,1011,76,,2021-01-28 00:00:00,Lycée Saint-Clair,UCV-njQIAL_L1ubn-e2463JA,https://www.youtube.com/channel/UCV-njQIAL_L1ubn-e2463JA,[],gRuxIwjOr_I
Bac Pro Agroéquipement - MFR,6,130,"Découvrez en vidéo la formation Bac Pro Agroéquipement ! 
Dans cette vidéo, nous vous présentons les enjeux et objectifs de cette formation. 

Pour en savoir plus, rendez-vous sur notre site : https://www.mfr.bzh/",2021-09-07 00:00:00,FRMFR Bretagne,UCBb-9V_cQVP1w-ALMKyWkqw,https://www.youtube.com/channel/UCBb-9V_cQVP1w-ALMKyWkqw,[],mt-h5DMblXo
Ingénieur en Agroéquipements - UniLaSalle,2306,209,"Les agriculteurs utilisent différents outils et équipements pour leurs activités de production. Ces équipements évoluent constamment en suivant le progrès des constructeurs et des nouvelles technologies. Toutes ces avancées ont été présentées au Salon International du Machinisme Agricole (SIMA 2017). Mais comment s’assurer que les besoins des agriculteurs soient pris en compte par les constructeurs d’agroéquipements ? Face ce constat, UniLaSalle a décidé de créer nouveau parcours : ""Ingénieur en Agroéquipement"". Nous avons demandé à quelques participant du SIMA quels étaient les enjeux pour la formation dans ce domaine.",2017-06-12 00:00:00,UniLaSalle,UCjJ1A-YVQxrDWrqC1vabrJw,https://www.youtube.com/channel/UCjJ1A-YVQxrDWrqC1vabrJw,"['SIMA', 'LaSalle', 'beauvais', 'agroéquipement', 'agromachinisme', 'agco', 'michelin']",cbytIRnZ6bs
Interview de Clément - Apprenti filière machinisme et agroéquipement,23,168,"Découvrez Clément apprenti en machinisme et agroéquipement
Il nous raconte son parcours au CFA de Chauny.",2021-05-19 00:00:00,CFA-ECCLOR,UCSZL39ZVrg4xcrKuKERisHQ,https://www.youtube.com/channel/UCSZL39ZVrg4xcrKuKERisHQ,"['interview', 'apprentissage', 'cfa', 'genech', 'alternance', 'cap', 'bac', 'bts', 'agroéquipement', 'machinisme', 'agricole', 'chauny']",HXqoJtVNHOI
Des métiers pour tous dans la filière de l'agroéquipement,83,3791,"Vous souhaitez tous savoir sur la filière de l'agroéquipement ? Quelles sont les formations et les métiers dans cette filière ? Quels sont les débouchés ?
Suivez ce webinaire de Thomas Moret et Bertrand Delesalle - APECITA pour tout savoir",2021-06-17 00:00:00,APE CITA,UCQvGiofS1gBpvyDgtPzHpRg,https://www.youtube.com/channel/UCQvGiofS1gBpvyDgtPzHpRg,"['agroéquipement', 'tracteur', 'machinisme', 'emploi', 'formation']",qb_uCb5HYmQ
Les apprentis de BAC PRO AGROEQUIPEMENT chez les Entrepreneurs Agricoles de la Dordogne,28476,238,"Les apprentis de la MFR de Thiviers en formation BAC PRO AGROEQUIPEMENT, ont  présenté cette vidéo lors de l'Assemblée Générale 2017 des Entrepreneurs Agricoles de la Dordogne. L'objectif étant la promotion de la Formation Agroéquipement pour répondre aux enjeux de l'agriculture de précision de demain.",2017-03-16 00:00:00,"MFR du Périgord Vert, l'Officielle",UC1b8cYXe8t3RGte5JRwBRyQ,https://www.youtube.com/channel/UC1b8cYXe8t3RGte5JRwBRyQ,[],RTsSY_pZ9og
Les jeunes de seconde bac pro agroéquipement sur le terrain!,58,61,"Cours pratique pour les  jeunes de seconde bac pro agroéquipement sur la parcelle de la MFR-CFA.

#MFR #CFA #alternance #agroéquipement",2021-10-08 00:00:00,MFR-CFA Agroéquipement Condé-sur-Vire,UCnn0i_077zHETPsX9RcHg7Q,https://www.youtube.com/channel/UCnn0i_077zHETPsX9RcHg7Q,[],zLNrsn-x17Q
"Marianne Cerf : Le Conseil technique en agroéquipement, relever le défi de l’agroécologie paysanne",420,1980,"[Conférence] Marianne Cerf (Directrice de recherche, INRA SAD) : Le Conseil technique en agroéquipement, relever le défi de l’agroécologie paysanne

Face aux enjeux de l’agroécologie, dans un contexte de concurrence accrue entre acteurs du conseil et de montée en puissance de services liés à l’usage des technologies du numérique, les organismes de conseil se repositionnent et font évoluer leur offre de conseil technique. Mais que recouvre ce terme ? il existe ainsi une diversité de façon d’aborder les questions techniques avec les agriculteurs : appui technique pour prendre des décisions opérationnelles, appui pour assurer la conformité avec la réglementation, aide au dimensionnement du matériel, approche systémique visant à intégrer des dynamiques à moyen terme, accompagnement des agriculteurs dans le changement technique. On peut alors interroger, dans ces différentes acceptions, la place donnée à la co-conception avec l’agriculteur ou des collectifs d’agriculteurs et la façon dont sont abordées, ou non, les questions de matériel agricole et plus largement de travail agricole.

Cette vidéo a été tournée lors du Séminaire d'InPact organisé avec AgroParistech le 5 avril 2017 sur le thème de ""la Souveraineté technique et technologique des paysans"" (http://www.latelierpaysan.org/Seminaire-INPACT-AgroparisTech)

Le lien pour le télécharger les Actes papier des 6 interventions du séminaire (16 Mo) : http://www.latelierpaysan.org/IMG/pdf/atelier_paysan_-_actes_ok.pdf

Merci à Coline Sauzion (AGTER) et Jérémie Grojnowski (Anthropologie visuelle) d'avoir respectivement capturé et monté cette vidéo.",2017-06-26 00:00:00,L'Atelier Paysan,UCPiHkHuvop9C0l5uLjLtMng,https://www.youtube.com/channel/UCPiHkHuvop9C0l5uLjLtMng,"['développement agricole', 'conseil technique', 'agroécologie', 'machinisme']",HrJBiDA3g70
